EmployeeID,Age,Gender,Department,JobRole,MaritalStatus,Education,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition,AgeGroup,TenureGroup,SalaryBand,PromotionStatus,AttritionFlag
2177,47,Female,Operations,HR Manager,Divorced,Master,14907,28,3,1,3,Yes,2,No,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,0
2178,22,Male,Operations,Sales Representative,Divorced,Master,4023,5,7,3,1,Yes,3,No,<30,3-6 Years,Low,Promoted 3-5 Yrs Ago,0
2179,29,Male,R&D,IT Specialist,Married,PhD,5638,6,6,1,1,Yes,4,Yes,<30,3-6 Years,Medium,Promoted 1-2 Yrs Ago,1
2180,54,Male,Operations,Operations Manager,Married,PhD,5193,20,5,2,2,No,2,Yes,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2181,56,Male,Operations,Finance Analyst,Married,PhD,2568,26,6,2,3,Yes,4,No,51+,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2182,34,Female,Finance,Sales Representative,Divorced,Master,10267,0,0,4,2,Yes,3,Yes,30-40,0-2 Years,High,Promoted 3-5 Yrs Ago,1
2183,22,Female,HR,Research Scientist,Married,PhD,11488,23,4,3,1,Yes,3,Yes,<30,10+ Years,High,Promoted 3-5 Yrs Ago,1
2184,55,Female,Sales,Sales Executive,Married,Master,4084,23,10,3,2,No,4,No,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2185,41,Male,IT,HR Associate,Single,Master,13988,19,6,3,4,No,3,No,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,0
2186,32,Male,IT,Laboratory Technician,Married,PhD,9539,25,9,3,3,No,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2187,54,Female,Admin,Sales Executive,Single,PhD,3431,25,1,1,1,No,2,No,51+,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2188,50,Male,Sales,Research Scientist,Divorced,Master,4625,11,1,3,3,Yes,2,Yes,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2189,35,Male,Admin,Sales Representative,Divorced,Bachelor,3721,9,5,1,2,No,2,Yes,30-40,7-10 Years,Low,Promoted 1-2 Yrs Ago,1
2190,38,Female,HR,HR Manager,Single,Master,4388,18,3,3,4,Yes,4,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2191,48,Female,R&D,Laboratory Technician,Married,Master,7118,4,7,3,1,No,3,Yes,41-50,3-6 Years,Medium,Promoted 3-5 Yrs Ago,1
2192,51,Female,Admin,IT Specialist,Divorced,Bachelor,8281,21,10,1,3,Yes,3,No,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2193,57,Male,Admin,HR Associate,Married,PhD,9045,12,9,4,3,No,2,Yes,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2194,55,Male,R&D,HR Associate,Single,Bachelor,9708,8,5,2,1,Yes,3,No,51+,7-10 Years,Medium,Promoted 1-2 Yrs Ago,0
2195,60,Female,R&D,Admin Assistant,Married,Bachelor,12712,25,9,3,4,No,3,No,51+,10+ Years,High,Promoted 3-5 Yrs Ago,0
2196,40,Female,HR,Laboratory Technician,Divorced,Bachelor,13346,0,5,1,3,Yes,2,Yes,30-40,0-2 Years,High,Promoted 1-2 Yrs Ago,1
2197,34,Female,R&D,Finance Analyst,Married,PhD,4885,27,10,3,1,Yes,3,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2198,23,Male,Admin,HR Manager,Married,Bachelor,10812,20,9,2,2,No,2,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2199,28,Male,HR,Operations Manager,Single,Master,13483,21,4,3,1,Yes,3,No,<30,10+ Years,High,Promoted 3-5 Yrs Ago,0
2200,41,Male,Finance,Finance Analyst,Single,PhD,9165,1,1,1,3,Yes,2,Yes,41-50,0-2 Years,Medium,Promoted 1-2 Yrs Ago,1
2201,26,Female,Finance,Research Scientist,Single,Master,7632,19,7,4,3,No,3,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2202,59,Male,IT,IT Specialist,Married,Master,14026,12,5,1,4,Yes,4,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2203,24,Male,HR,Laboratory Technician,Single,Bachelor,4997,6,5,2,3,No,3,No,<30,3-6 Years,Low,Promoted 1-2 Yrs Ago,0
2204,25,Male,Operations,HR Manager,Married,Master,3175,2,6,2,4,No,4,Yes,<30,0-2 Years,Low,Promoted 1-2 Yrs Ago,1
2205,48,Female,Admin,HR Manager,Divorced,Bachelor,11992,26,10,4,3,Yes,2,Yes,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,1
2206,41,Female,HR,Admin Assistant,Single,Master,6647,13,10,1,4,Yes,4,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2207,45,Male,HR,Sales Executive,Divorced,Master,3956,23,0,4,2,Yes,4,Yes,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2208,57,Female,R&D,IT Specialist,Married,Bachelor,14260,29,10,3,2,No,2,Yes,51+,10+ Years,High,Promoted 3-5 Yrs Ago,1
2209,59,Male,Finance,HR Associate,Single,Master,3555,10,6,4,1,Yes,3,No,51+,7-10 Years,Low,Promoted 3-5 Yrs Ago,0
2210,58,Female,Admin,Sales Executive,Married,Bachelor,5269,16,3,2,3,No,2,No,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2211,40,Male,Admin,IT Specialist,Single,Master,6515,10,9,2,4,No,3,Yes,30-40,7-10 Years,Medium,Promoted 1-2 Yrs Ago,1
2212,34,Male,IT,Operations Manager,Divorced,Master,5749,11,5,4,2,Yes,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2213,28,Male,HR,HR Associate,Single,Master,2669,11,6,4,2,No,3,Yes,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2214,47,Female,HR,Sales Representative,Divorced,Master,6444,25,3,3,2,No,3,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2215,47,Male,Sales,IT Specialist,Married,Master,8401,30,9,2,4,Yes,4,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2216,33,Male,Finance,Sales Representative,Married,Bachelor,12709,10,1,3,3,Yes,2,Yes,30-40,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2217,38,Female,Finance,Laboratory Technician,Single,Bachelor,13578,23,1,3,2,No,2,No,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,0
2218,51,Male,Admin,Finance Analyst,Divorced,Master,3073,25,6,3,3,No,3,Yes,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2219,43,Male,Finance,HR Manager,Married,PhD,11830,5,9,3,4,No,2,No,41-50,3-6 Years,High,Promoted 3-5 Yrs Ago,0
2220,30,Male,Finance,HR Manager,Married,Master,14755,29,8,4,4,No,2,No,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,0
2221,30,Female,Operations,Sales Executive,Married,PhD,8242,7,7,3,3,No,3,Yes,30-40,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2222,50,Female,HR,Sales Executive,Single,Master,14721,16,2,4,1,Yes,2,Yes,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,1
2223,46,Female,Operations,HR Manager,Single,PhD,4140,8,10,2,4,Yes,3,Yes,41-50,7-10 Years,Low,Promoted 1-2 Yrs Ago,1
2224,48,Female,R&D,HR Manager,Married,Master,4141,26,3,4,2,Yes,4,No,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2225,57,Male,Admin,Finance Analyst,Married,Bachelor,5358,11,9,1,2,Yes,3,Yes,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2226,33,Female,Sales,Admin Assistant,Divorced,Master,5192,16,7,3,1,No,2,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2227,45,Female,Admin,Sales Representative,Divorced,Bachelor,14139,15,4,3,1,Yes,3,Yes,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,1
2228,38,Female,Operations,IT Specialist,Divorced,Master,14071,13,2,1,1,No,2,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2229,35,Male,Finance,Research Scientist,Single,PhD,12158,30,3,2,1,Yes,4,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2230,39,Female,HR,HR Manager,Married,Master,9671,18,9,4,3,No,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2231,51,Male,IT,Sales Representative,Married,Bachelor,6525,17,7,4,3,No,2,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2232,58,Female,HR,Sales Executive,Divorced,Master,12346,28,2,1,3,Yes,2,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2233,46,Male,Sales,HR Manager,Married,Master,4670,9,5,3,4,Yes,4,Yes,41-50,7-10 Years,Low,Promoted 3-5 Yrs Ago,1
2234,33,Male,Operations,HR Manager,Married,Master,2585,24,0,2,3,Yes,4,Yes,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2235,52,Female,Finance,HR Associate,Divorced,Master,11747,15,6,2,4,No,3,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2236,58,Male,IT,HR Manager,Divorced,Master,11553,3,5,4,4,No,2,No,51+,3-6 Years,High,Promoted 3-5 Yrs Ago,0
2237,52,Male,Finance,Sales Representative,Single,Master,11308,22,1,1,2,Yes,4,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2238,32,Male,HR,Operations Manager,Divorced,PhD,13836,10,10,4,4,Yes,4,Yes,30-40,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2239,26,Female,HR,Finance Analyst,Divorced,Bachelor,8798,18,1,2,1,Yes,3,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2240,56,Male,Finance,HR Manager,Single,Bachelor,14577,0,2,1,4,No,2,No,51+,0-2 Years,High,Promoted 1-2 Yrs Ago,0
2241,37,Female,HR,HR Associate,Divorced,PhD,5267,1,0,1,3,Yes,4,Yes,30-40,0-2 Years,Medium,Promoted 1-2 Yrs Ago,1
2242,51,Female,Operations,Operations Manager,Single,PhD,11179,28,9,3,2,No,4,Yes,51+,10+ Years,High,Promoted 3-5 Yrs Ago,1
2243,55,Female,HR,Sales Representative,Married,Master,3991,16,8,3,3,No,3,Yes,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2244,22,Female,IT,Finance Analyst,Married,Bachelor,6783,9,5,3,3,No,4,Yes,<30,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
2245,29,Male,Finance,Research Scientist,Divorced,PhD,12125,10,7,2,1,No,4,No,<30,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2246,43,Male,HR,Admin Assistant,Married,Master,6449,3,9,4,1,Yes,3,Yes,41-50,3-6 Years,Medium,Promoted 3-5 Yrs Ago,1
2247,53,Female,R&D,Operations Manager,Single,Master,13338,23,9,2,4,No,3,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2248,26,Male,Operations,Operations Manager,Divorced,PhD,13595,13,9,4,1,Yes,4,No,<30,10+ Years,High,Promoted 3-5 Yrs Ago,0
2249,43,Male,HR,Laboratory Technician,Divorced,Bachelor,7112,30,10,3,2,No,3,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2250,22,Male,Sales,HR Associate,Married,PhD,6237,15,3,2,4,No,4,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2251,58,Male,Sales,Operations Manager,Single,PhD,6775,24,3,3,1,No,2,Yes,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2252,56,Female,Sales,Sales Representative,Divorced,Master,5924,6,3,1,1,No,3,Yes,51+,3-6 Years,Medium,Promoted 1-2 Yrs Ago,1
2253,39,Female,Admin,Sales Representative,Married,Bachelor,13338,3,8,1,2,No,4,No,30-40,3-6 Years,High,Promoted 1-2 Yrs Ago,0
2254,22,Male,R&D,Laboratory Technician,Divorced,Bachelor,13282,21,10,2,4,Yes,3,No,<30,10+ Years,High,Promoted 1-2 Yrs Ago,0
2255,59,Female,R&D,HR Associate,Single,Bachelor,11040,22,9,4,3,Yes,3,Yes,51+,10+ Years,High,Promoted 3-5 Yrs Ago,1
2256,42,Female,Admin,HR Manager,Single,Master,13458,20,8,4,1,No,2,Yes,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,1
2257,48,Female,Sales,Research Scientist,Single,Bachelor,4167,16,6,4,2,No,2,Yes,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2258,38,Male,IT,Sales Representative,Divorced,Master,3584,14,8,4,4,Yes,2,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2259,32,Male,Finance,Operations Manager,Divorced,Bachelor,4475,29,3,4,3,No,3,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2260,30,Male,Finance,Laboratory Technician,Single,PhD,8155,11,6,4,4,No,4,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2261,59,Male,Admin,Laboratory Technician,Divorced,PhD,8326,14,0,2,3,No,3,Yes,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2262,25,Female,Finance,Laboratory Technician,Single,Bachelor,11699,16,2,2,4,Yes,3,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2263,47,Male,Finance,IT Specialist,Single,PhD,14190,15,10,2,1,Yes,4,No,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,0
2264,24,Male,Finance,Finance Analyst,Married,Master,7738,25,8,4,4,No,4,No,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2265,25,Female,Finance,HR Manager,Divorced,PhD,6531,30,7,3,2,No,4,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2266,43,Male,HR,IT Specialist,Divorced,Master,3650,4,4,4,1,Yes,4,Yes,41-50,3-6 Years,Low,Promoted 3-5 Yrs Ago,1
2267,54,Female,HR,HR Associate,Single,Master,3667,16,10,1,1,Yes,4,Yes,51+,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2268,36,Male,R&D,IT Specialist,Divorced,Master,6033,12,8,1,4,No,3,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2269,57,Female,IT,Finance Analyst,Divorced,PhD,6537,3,6,2,4,Yes,2,No,51+,3-6 Years,Medium,Promoted 1-2 Yrs Ago,0
2270,40,Male,Finance,HR Manager,Divorced,Master,12705,14,2,1,3,Yes,2,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2271,32,Male,Finance,Admin Assistant,Single,Bachelor,11335,27,8,2,1,Yes,3,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2272,50,Male,R&D,Finance Analyst,Divorced,Master,12012,5,10,1,2,No,4,Yes,41-50,3-6 Years,High,Promoted 1-2 Yrs Ago,1
2273,25,Female,R&D,Sales Representative,Married,Master,9963,20,10,2,3,Yes,4,No,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2274,48,Male,Operations,Sales Executive,Married,Bachelor,2692,14,2,2,3,No,2,Yes,41-50,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2275,36,Female,Sales,IT Specialist,Divorced,Bachelor,14079,21,4,3,2,No,3,No,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,0
2276,34,Female,IT,HR Manager,Married,Master,7517,6,1,2,4,No,4,No,30-40,3-6 Years,Medium,Promoted 1-2 Yrs Ago,0
2277,29,Female,Admin,Sales Representative,Single,PhD,11749,29,7,2,2,Yes,4,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2278,53,Male,Admin,Laboratory Technician,Single,PhD,4401,23,6,2,2,Yes,3,Yes,51+,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2279,32,Male,Admin,HR Manager,Married,PhD,11183,0,1,3,2,Yes,4,No,30-40,0-2 Years,High,Promoted 3-5 Yrs Ago,0
2280,39,Female,Finance,IT Specialist,Divorced,Master,3773,18,5,2,2,No,4,Yes,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2281,39,Male,R&D,Sales Executive,Married,Master,14013,2,2,3,3,Yes,2,Yes,30-40,0-2 Years,High,Promoted 3-5 Yrs Ago,1
2282,45,Female,R&D,Sales Representative,Single,Master,12831,7,1,4,1,No,3,Yes,41-50,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2283,26,Female,IT,Research Scientist,Divorced,Bachelor,2861,27,7,4,2,No,4,No,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2284,57,Female,IT,Laboratory Technician,Single,Master,6361,25,8,3,3,No,3,Yes,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2285,34,Male,Sales,Laboratory Technician,Married,Bachelor,8846,15,4,4,2,Yes,2,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2286,57,Male,IT,Research Scientist,Divorced,Bachelor,9708,4,1,3,2,Yes,2,No,51+,3-6 Years,Medium,Promoted 3-5 Yrs Ago,0
2287,33,Male,R&D,Finance Analyst,Single,PhD,5377,4,4,4,4,Yes,3,No,30-40,3-6 Years,Medium,Promoted 3-5 Yrs Ago,0
2288,44,Male,Operations,Admin Assistant,Single,PhD,8594,23,5,4,1,No,3,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2289,56,Male,Admin,Admin Assistant,Married,Bachelor,5083,6,8,1,1,No,4,Yes,51+,3-6 Years,Medium,Promoted 1-2 Yrs Ago,1
2290,27,Male,IT,HR Manager,Married,Master,8661,15,7,4,3,No,3,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2291,29,Female,Admin,Finance Analyst,Married,Bachelor,8432,23,4,1,4,No,3,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2292,30,Female,IT,Finance Analyst,Married,PhD,5067,13,4,2,1,Yes,3,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2293,30,Male,IT,Finance Analyst,Single,PhD,12084,19,5,3,1,No,4,Yes,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,1
2294,31,Female,HR,HR Manager,Single,Bachelor,11490,1,3,3,1,No,2,No,30-40,0-2 Years,High,Promoted 3-5 Yrs Ago,0
2295,56,Female,Operations,Research Scientist,Divorced,Master,12837,19,6,2,3,Yes,3,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2296,27,Male,HR,Operations Manager,Single,PhD,10538,30,8,2,1,No,4,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2297,24,Male,Finance,Sales Representative,Single,PhD,14619,16,1,1,4,No,2,No,<30,10+ Years,High,Promoted 1-2 Yrs Ago,0
2298,54,Female,IT,Laboratory Technician,Divorced,PhD,4885,5,8,3,4,Yes,3,Yes,51+,3-6 Years,Low,Promoted 3-5 Yrs Ago,1
2299,46,Female,Sales,HR Manager,Single,PhD,9065,29,10,4,2,Yes,3,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2300,32,Female,Admin,Operations Manager,Married,Bachelor,11646,5,0,2,3,No,3,Yes,30-40,3-6 Years,High,Promoted 1-2 Yrs Ago,1
2301,44,Female,Sales,IT Specialist,Divorced,PhD,8078,30,10,4,2,Yes,2,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2302,36,Male,Sales,Sales Representative,Married,Bachelor,7098,23,0,1,3,Yes,4,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2303,60,Male,Operations,Admin Assistant,Single,Master,4673,27,9,4,3,No,4,No,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2304,32,Male,HR,Finance Analyst,Single,Bachelor,5387,3,3,4,4,Yes,2,Yes,30-40,3-6 Years,Medium,Promoted 3-5 Yrs Ago,1
2305,43,Female,IT,Operations Manager,Married,PhD,5782,13,1,2,2,No,3,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2306,25,Female,Operations,Finance Analyst,Divorced,Master,8251,29,4,4,3,Yes,2,Yes,<30,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2307,43,Female,IT,Operations Manager,Single,Bachelor,4772,28,5,2,4,No,4,No,41-50,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2308,49,Male,R&D,Laboratory Technician,Married,Master,12231,6,6,4,4,Yes,3,Yes,41-50,3-6 Years,High,Promoted 3-5 Yrs Ago,1
2309,34,Female,Admin,HR Associate,Single,PhD,7593,18,5,3,3,No,3,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2310,41,Female,Operations,HR Associate,Single,Bachelor,9681,23,1,3,2,Yes,3,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2311,33,Male,Operations,Laboratory Technician,Married,PhD,13997,17,10,4,4,Yes,4,Yes,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,1
2312,29,Male,Finance,IT Specialist,Married,PhD,9402,4,0,2,1,Yes,3,Yes,<30,3-6 Years,Medium,Promoted 1-2 Yrs Ago,1
2313,31,Male,Admin,Admin Assistant,Married,Master,2687,30,7,3,2,Yes,3,No,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2314,53,Male,Admin,HR Manager,Single,PhD,7395,26,8,4,4,No,4,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2315,55,Female,Finance,Laboratory Technician,Single,Master,3675,21,3,4,2,Yes,2,No,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2316,22,Female,R&D,Operations Manager,Married,PhD,4633,28,1,2,4,Yes,3,No,<30,10+ Years,Low,Promoted 1-2 Yrs Ago,0
2317,36,Male,IT,IT Specialist,Single,Bachelor,8324,9,8,2,4,Yes,4,Yes,30-40,7-10 Years,Medium,Promoted 1-2 Yrs Ago,1
2318,46,Male,R&D,HR Manager,Divorced,Master,4490,8,6,4,2,Yes,2,No,41-50,7-10 Years,Low,Promoted 3-5 Yrs Ago,0
2319,28,Male,HR,Laboratory Technician,Single,Master,3484,13,4,2,2,Yes,3,Yes,<30,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2320,37,Female,Finance,HR Associate,Single,PhD,10783,19,0,4,3,No,3,No,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,0
2321,58,Male,HR,Research Scientist,Divorced,Bachelor,7033,3,6,2,2,No,4,No,51+,3-6 Years,Medium,Promoted 1-2 Yrs Ago,0
2322,50,Male,Sales,Research Scientist,Single,Bachelor,10533,2,4,1,3,Yes,4,No,41-50,0-2 Years,High,Promoted 1-2 Yrs Ago,0
2323,60,Male,Admin,Laboratory Technician,Married,Master,12198,0,3,1,1,No,2,No,51+,0-2 Years,High,Promoted 1-2 Yrs Ago,0
2324,27,Male,IT,IT Specialist,Single,Bachelor,3183,2,3,1,2,Yes,3,Yes,<30,0-2 Years,Low,Promoted 1-2 Yrs Ago,1
2325,32,Male,Sales,Finance Analyst,Divorced,PhD,6940,1,10,1,1,Yes,2,Yes,30-40,0-2 Years,Medium,Promoted 1-2 Yrs Ago,1
2326,32,Female,Admin,Finance Analyst,Single,Bachelor,10929,22,5,3,2,No,3,Yes,30-40,10+ Years,High,Promoted 3-5 Yrs Ago,1
2327,50,Male,Operations,Sales Executive,Single,PhD,10470,26,10,3,2,No,2,No,41-50,10+ Years,High,Promoted 3-5 Yrs Ago,0
2328,45,Female,Sales,IT Specialist,Single,PhD,11635,10,2,1,1,Yes,3,No,41-50,7-10 Years,High,Promoted 1-2 Yrs Ago,0
2329,38,Female,Operations,Sales Representative,Single,PhD,12840,8,2,3,3,No,3,No,30-40,7-10 Years,High,Promoted 3-5 Yrs Ago,0
2330,42,Female,Finance,Sales Executive,Divorced,Master,8753,21,8,3,3,Yes,4,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2331,59,Female,Admin,HR Manager,Married,PhD,4643,13,8,4,3,Yes,4,Yes,51+,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2332,24,Male,R&D,Sales Representative,Divorced,Master,4745,18,7,3,2,No,4,Yes,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2333,59,Male,IT,Sales Executive,Married,Master,4933,9,8,1,4,No,4,No,51+,7-10 Years,Low,Promoted 1-2 Yrs Ago,0
2334,47,Female,Admin,Finance Analyst,Divorced,Master,10882,1,2,2,4,Yes,2,Yes,41-50,0-2 Years,High,Promoted 1-2 Yrs Ago,1
2335,23,Male,Finance,Admin Assistant,Divorced,PhD,7850,18,6,2,3,Yes,2,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2336,41,Female,Operations,HR Associate,Married,Master,9509,21,4,4,3,Yes,2,No,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2337,32,Male,HR,IT Specialist,Married,Master,7654,19,9,2,3,No,3,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2338,30,Male,HR,HR Manager,Divorced,PhD,4643,21,9,4,3,Yes,4,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2339,22,Female,Admin,Sales Representative,Married,Bachelor,4765,2,6,4,3,Yes,3,Yes,<30,0-2 Years,Low,Promoted 3-5 Yrs Ago,1
2340,40,Male,Admin,Sales Representative,Married,Master,13645,3,2,1,1,Yes,3,No,30-40,3-6 Years,High,Promoted 1-2 Yrs Ago,0
2341,57,Male,Admin,Sales Executive,Divorced,Bachelor,13153,27,8,2,3,No,3,Yes,51+,10+ Years,High,Promoted 1-2 Yrs Ago,1
2342,40,Male,Sales,HR Associate,Married,Bachelor,5242,16,5,1,2,Yes,3,Yes,30-40,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2343,40,Male,Operations,Sales Executive,Married,PhD,8562,12,0,4,3,No,2,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2344,29,Male,Sales,Sales Representative,Divorced,Bachelor,10752,22,3,2,1,Yes,3,No,<30,10+ Years,High,Promoted 1-2 Yrs Ago,0
2345,53,Female,HR,Finance Analyst,Married,PhD,9361,21,10,3,3,No,2,Yes,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2346,49,Male,Admin,HR Associate,Single,Master,3035,7,8,1,1,No,2,No,41-50,7-10 Years,Low,Promoted 1-2 Yrs Ago,0
2347,26,Male,Operations,Research Scientist,Married,Bachelor,3760,19,5,4,3,No,2,No,<30,10+ Years,Low,Promoted 3-5 Yrs Ago,0
2348,24,Male,Admin,HR Associate,Divorced,PhD,12503,20,1,2,3,No,4,Yes,<30,10+ Years,High,Promoted 1-2 Yrs Ago,1
2349,44,Male,IT,Sales Executive,Divorced,PhD,13774,7,1,4,2,No,2,Yes,41-50,7-10 Years,High,Promoted 3-5 Yrs Ago,1
2350,32,Female,Sales,HR Manager,Married,PhD,8459,4,9,3,3,No,3,No,30-40,3-6 Years,Medium,Promoted 3-5 Yrs Ago,0
2351,60,Female,R&D,Laboratory Technician,Married,Bachelor,5031,27,1,3,2,No,3,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2352,42,Female,Operations,HR Associate,Divorced,PhD,6308,23,9,2,3,Yes,3,No,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2353,43,Male,HR,HR Associate,Single,Master,9755,10,1,3,3,Yes,4,No,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,0
2354,42,Female,R&D,Finance Analyst,Married,Master,9431,7,5,3,3,Yes,3,Yes,41-50,7-10 Years,Medium,Promoted 3-5 Yrs Ago,1
